"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_pos_full","Положительная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1982
"diag_pos_full","Положительная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1982
"diag_pos_full","Положительная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1982
"diag_pos_full","Положительная диагональ",0.05,1,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1648
"diag_pos_full","Положительная диагональ",0.05,1,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1648
"diag_pos_full","Положительная диагональ",0.05,1,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1648
"diag_pos_full","Положительная диагональ",0.05,1,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4964
"diag_pos_full","Положительная диагональ",0.05,1,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4964
"diag_pos_full","Положительная диагональ",0.05,1,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4964
"diag_pos_full","Положительная диагональ",0.05,1,"wiener","Wiener","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4625
"diag_pos_full","Положительная диагональ",0.05,1,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4625
"diag_pos_full","Положительная диагональ",0.05,1,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4625
"diag_pos_full","Положительная диагональ",0.05,1,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,1,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,1,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1813
"diag_pos_full","Положительная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1813
"diag_pos_full","Положительная диагональ",0.05,2,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1813
"diag_pos_full","Положительная диагональ",0.05,2,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,2679
"diag_pos_full","Положительная диагональ",0.05,2,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.35,0,3.83717087430553e-05,0.353553390593274,2679
"diag_pos_full","Положительная диагональ",0.05,2,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,2679
"diag_pos_full","Положительная диагональ",0.05,2,"median","Median","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,4858
"diag_pos_full","Положительная диагональ",0.05,2,"median","Median","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4858
"diag_pos_full","Положительная диагональ",0.05,2,"median","Median","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4858
"diag_pos_full","Положительная диагональ",0.05,2,"wiener","Wiener","$2; 0.02$",2,0.02,-2,2.38,4,0.000566702297202361,0.883883476483184,4746
"diag_pos_full","Положительная диагональ",0.05,2,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4746
"diag_pos_full","Положительная диагональ",0.05,2,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4746
"diag_pos_full","Положительная диагональ",0.05,2,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,2,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,2,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_pos_full","Положительная диагональ",0.05,3,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1948
"diag_pos_full","Положительная диагональ",0.05,3,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1948
