"method","method_label","grid_label","rho_step","theta_step","sigma","mean_distance","mean_rho_mse","mean_theta_mse"
"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0.2,13.8971624801612,1664.02724014054,0.613771507249873
"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0.2,5.26965080152333,188.871820500215,0.198886697965886
"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0.2,1.96030654928529,98.9055890459283,0.0717788112701742
"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0.2,17.5661028176429,1755.72495236594,1.20815625125081
"bm3d","BM3D","$1; 0.01$",1,0.01,0.2,0.979312464860696,3.55664677822579,6.3444726467807e-05
"bm3d","BM3D","$2; 0.02$",2,0.02,0.2,7.86942404466426,1320.39373468683,0.314255138031182
"median","Median","$0.5; 0.005$",0.5,0.005,0.2,18.5414756694283,3035.17690453158,2.3969257392527
"median","Median","$1; 0.01$",1,0.01,0.2,0.345744226031696,0.304963185664863,4.32044638772077e-05
"median","Median","$2; 0.02$",2,0.02,0.2,0.452851838004925,0.221406205696604,4.38132659059499e-05
"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0.2,13.6494061482542,2344.53230566612,2.3969257392527
"wiener","Wiener","$1; 0.01$",1,0.01,0.2,1.77076114103915,165.101137810449,0.178243927802018
"wiener","Wiener","$2; 0.02$",2,0.02,0.2,3.79967060256178,593.562019313613,0.191236553805815
"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0.2,0.112368062505671,0.089431405688248,4.73297904322881e-06
"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0.2,0.289144757802308,0.0967416756489918,2.61495084661953e-05
"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0.2,0.398051062462968,0.137849225728345,1.30169391110534e-05
