"config_id","config_label","grid_label","rho_step","theta_step","mean_distance"
"diag_pos_full","Положительная диагональ","$2; 0.02$",2,0.02,0.353553390593274
"diag_pos_full","Положительная диагональ","$1; 0.01$",1,0.01,0.353553390593274
"diag_pos_full","Положительная диагональ","$0.5; 0.005$",0.5,0.005,0
"diag_neg_full","Отрицательная диагональ","$2; 0.02$",2,0.02,0.346482322781408
"diag_neg_full","Отрицательная диагональ","$1; 0.01$",1,0.01,0.353553390593274
"diag_neg_full","Отрицательная диагональ","$0.5; 0.005$",0.5,0.005,0
"steep_full","Крутая прямая","$2; 0.02$",2,0.02,0.66856173872721
"steep_full","Крутая прямая","$1; 0.01$",1,0.01,0.225865452272706
"steep_full","Крутая прямая","$0.5; 0.005$",0.5,0.005,0.225865452272706
"steep_shifted","Крутая смещенная","$2; 0.02$",2,0.02,0.223606797749979
"steep_shifted","Крутая смещенная","$1; 0.01$",1,0.01,0.223606797749979
"steep_shifted","Крутая смещенная","$0.5; 0.005$",0.5,0.005,0.223606797749979
