"true_col","omega_normalized","argmax_error","mse"
1,0,2.24,0.00188184142725994
2,0.01,1.7,0.00166276684896038
3,0.02,3.48,0.00214368677191165
4,0.0300000000000001,2.33,0.00196576064064503
5,0.0399999999999999,3.18,0.00227103028814493
6,0.0499999999999999,3.56,0.00209447888080312
7,0.06,2.285,0.00211491120421171
8,0.07,3.865,0.00227726701226324
9,0.08,3.395,0.00230724709246295
10,0.09,3.21,0.00215644799795924
11,0.1,3.715,0.00245070495952927
12,0.11,4.12,0.00251445884231661
13,0.12,1.635,0.00185412592216594
14,0.13,3.43,0.00232619135986573
15,0.14,2.37,0.00220199576211561
16,0.15,2.62,0.00209882753364094
17,0.159999999999999,2.8,0.00199775868189305
18,0.17,2.01,0.00164222170038882
19,0.180000000000001,2.97,0.00247114744018397
20,0.19,1.42,0.00186845706938087
21,0.2,3.825,0.00217552583763084
22,0.21,1.275,0.00177734851240134
23,0.22,2.99,0.00231369340917312
24,0.229999999999999,1.745,0.00214957290462266
25,0.24,1.405,0.00216338863966901
26,0.250000000000001,1.52,0.00197409448598949
27,0.26,2.865,0.00211002685970344
28,0.27,2.405,0.00201780222228526
29,0.279999999999999,2.54,0.00232546752713807
30,0.29,2.185,0.00209184552790353
31,0.300000000000001,2.64,0.00237495023086243
32,0.31,0.94,0.00185985977663438
33,0.32,2.46,0.00228197572808423
34,0.329999999999999,2.595,0.00232178663153822
35,0.34,2.025,0.00221218405100761
36,0.350000000000001,1.71,0.00200109406105133
37,0.36,2.025,0.00217958263198472
38,0.370000000000001,2.215,0.00219939341787096
39,0.38,2.16,0.0021393477317884
40,0.39,1.655,0.00205519859855772
41,0.399999999999999,0.695,0.00168563556795055
42,0.41,1.1,0.00173540100632396
43,0.420000000000001,0.935,0.00186615468461771
44,0.43,1.435,0.00190729400236162
45,0.44,1.37,0.00170941045732672
46,0.449999999999999,1.485,0.00178136749579994
47,0.46,1.96,0.00193497872840392
48,0.470000000000001,0.775,0.00198204207907186
49,0.48,1.66,0.00210987701440374
50,0.49,0.9,0.00161296726533292
