"signal_index","omega","omega_wrapped","pred_index","argmax_error","mse","near_mass_share","active_share_0001","active_share_01","max_value","true_index_value"
1,0,0,1,0,0.0069768387012838,0.291767482126055,0.52,0.03,0.454024400100824,0.454024400100824
2,-0.0628318530717959,-0.0628318530717959,2,0,0.0061132139087128,0.336130558608224,0.59,0.02,0.371723795005512,0.371723795005512
3,-0.125663706143592,-0.125663706143592,3,0,0.000377856333622821,0.83828370516192,0.31,0.01,1.0954800040607,1.0954800040607
4,-0.188495559215388,-0.188495559215388,4,0,0.0015569748542095,0.860829413911942,0.32,0.01,1.3566849274406,1.3566849274406
5,-0.251327412287183,-0.251327412287183,5,0,0.000596942383099458,0.818954403714783,0.29,0.03,0.948795275052979,0.948795275052979
6,-0.314159265358979,-0.314159265358979,6,0,0.00037954608834987,0.786776017702749,0.23,0.02,0.879566051837223,0.879566051837223
7,-0.376991118430775,-0.376991118430775,7,0,0.00130415080735296,0.886370701443889,0.25,0.01,0.641577903544791,0.641577903544791
8,-0.439822971502571,-0.439822971502571,8,0,0.00126950955580869,0.756123180293731,0.32,0.02,1.20675350034208,1.20675350034208
9,-0.502654824574367,-0.502654824574367,9,0,0.000661672036922647,0.738746628900996,0.39,0.02,1.02593658184245,1.02593658184245
10,-0.565486677646163,-0.565486677646163,86,76,0.0130701869831991,0.0629939120477911,0.5,0.01,0.568514729004318,0.046016273328649
11,-0.628318530717959,-0.628318530717959,11,0,0.00056275538892476,0.844136249309284,0.31,0.01,0.859975040068015,0.859975040068015
12,-0.691150383789754,-0.691150383789754,12,0,0.000190665597439456,0.933935803579457,0.17,0.01,0.979234400910866,0.979234400910866
13,-0.75398223686155,-0.75398223686155,13,0,0.000184861898072833,0.842859839720777,0.12,0.01,1.0176218916918,1.0176218916918
14,-0.816814089933346,-0.816814089933346,14,0,0.000652387141130506,0.658666282974873,0.59,0.01,0.764683690590645,0.764683690590645
15,-0.879645943005142,-0.879645943005142,15,0,0.000819757203281053,0.805180873120806,0.14,0.02,0.807805226878707,0.807805226878707
16,-0.942477796076938,-0.942477796076938,16,0,0.00466844063077935,0.568894506446792,0.45,0.03,0.817102145725222,0.817102145725222
17,-1.00530964914873,-1.00530964914873,17,0,0.00103128705741199,0.878431024526601,0.13,0.02,0.811288197032004,0.811288197032004
18,-1.06814150222053,-1.06814150222053,18,0,0.000784733761857798,0.54767111723993,0.98,0.02,0.798068059600361,0.798068059600361
19,-1.13097335529233,-1.13097335529233,19,0,0.000735064467514337,0.903489380991402,0.32,0.01,1.22863937324587,1.22863937324587
20,-1.19380520836412,-1.19380520836412,20,0,0.000530787620116958,0.823145360991804,0.24,0.02,1.02464465262911,1.02464465262911
21,-1.25663706143592,-1.25663706143592,21,0,0.000331982122659525,0.811732286074079,0.23,0.02,0.965698067306059,0.965698067306059
22,-1.31946891450771,-1.31946891450771,22,0,0.00157213844389369,0.840863261443239,0.51,0.02,1.33876539162358,1.33876539162358
23,-1.38230076757951,-1.38230076757951,23,0,0.00457073774959783,0.505718652927313,0.47,0.04,0.796959924744266,0.796959924744266
24,-1.4451326206513,-1.4451326206513,84,60,0.00657285352650305,0.281460492701268,0.86,0.02,0.393735608571602,0.302671867850668
25,-1.5079644737231,-1.5079644737231,25,0,0.000906102877759218,0.606328464061089,0.78,0.02,0.769594843945314,0.769594843945314
26,-1.5707963267949,-1.5707963267949,26,0,0.000827005308282,0.694046968711194,0.35,0.01,0.844484913461815,0.844484913461815
27,-1.63362817986669,-1.63362817986669,27,0,0.00256475398067446,0.745758040048995,0.41,0.02,1.25315337702717,1.25315337702717
28,-1.69646003293849,-1.69646003293849,28,0,0.00051906200082272,0.872034339191146,0.09,0.02,1.10748464261156,1.10748464261156
29,-1.75929188601028,-1.75929188601028,29,0,0.00133734333205984,0.75310978511895,0.41,0.01,1.20889825062582,1.20889825062582
30,-1.82212373908208,-1.82212373908208,30,0,0.000236337112060726,0.772696021206439,0.71,0.01,0.863386048956172,0.863386048956172
31,-1.88495559215388,-1.88495559215388,31,0,0.000993206207835107,0.699583762716044,0.44,0.02,0.852967305358061,0.852967305358061
32,-1.94778744522567,-1.94778744522567,32,0,0.00148184277715761,0.85574448916441,0.07,0.02,0.683147400504572,0.683147400504572
33,-2.01061929829747,-2.01061929829747,33,0,0.00029840251881582,0.8093857525755,0.24,0.01,0.864239878188668,0.864239878188668
34,-2.07345115136926,-2.07345115136926,34,0,0.000479112714340762,0.651801638737923,0.49,0.01,0.900290267798133,0.900290267798133
35,-2.13628300444106,-2.13628300444106,35,0,0.00113983158479303,0.719267166455748,0.34,0.02,0.729024571845459,0.729024571845459
36,-2.19911485751286,-2.19911485751286,36,0,0.000331828394765888,0.656862755457262,0.56,0.01,0.953202750981275,0.953202750981275
37,-2.26194671058465,-2.26194671058465,37,0,0.000789398034926096,0.681003671369464,0.79,0.01,0.729666993067928,0.729666993067928
38,-2.32477856365645,-2.32477856365645,38,0,0.000760335174035453,0.708299339222341,0.45,0.02,0.955526010222445,0.955526010222445
39,-2.38761041672824,-2.38761041672824,39,0,0.00208184897474539,0.796610662605536,0.39,0.02,1.30310073192105,1.30310073192105
40,-2.45044226980004,-2.45044226980004,40,0,0.000565657517097207,0.956251628846483,0.13,0.01,1.19231926140596,1.19231926140596
41,-2.51327412287183,-2.51327412287183,41,0,0.000676748237942495,0.930302909013564,0.24,0.01,1.20358070817275,1.20358070817275
42,-2.57610597594363,-2.57610597594363,42,0,0.0030912587435779,0.586528358451158,0.46,0.02,0.833208101560923,0.833208101560923
43,-2.63893782901543,-2.63893782901543,43,0,0.00379237842843238,0.972836911992302,0.07,0.01,1.60602764708626,1.60602764708626
44,-2.70176968208722,-2.70176968208722,44,0,3.296312174002e-05,0.888091179399352,0.33,0.01,1.00570750256316,1.00570750256316
45,-2.76460153515902,-2.76460153515902,45,0,0.00348001794094191,0.593186841187634,0.42,0.03,1.00769198044164,1.00769198044164
46,-2.82743338823081,-2.82743338823081,46,0,0.000798135017400486,0.67205713415025,0.54,0.02,0.893241680957328,0.893241680957328
47,-2.89026524130261,-2.89026524130261,47,0,0.00109602315760196,0.723088479638209,0.4,0.02,1.06752385853785,1.06752385853785
48,-2.95309709437441,-2.95309709437441,48,0,0.000720822250041155,0.780811110411836,0.47,0.02,1.18373677851625,1.18373677851625
49,-3.0159289474462,-3.0159289474462,49,0,0.000831932203257959,0.657213199915074,0.51,0.02,0.950810189984337,0.950810189984337
50,-3.078760800518,-3.078760800518,50,0,0.000472756404813594,0.788306850846364,0.53,0.02,1.11403000509685,1.11403000509685
51,-3.14159265358979,-3.14159265358979,69,18,0.0147048106023665,0,0.45,0.02,0.572587678552704,-0.00497744863666548
52,-3.20442450666159,3.078760800518,52,0,0.00139151449481458,0.919806777761963,0.21,0.01,1.30418020893588,1.30418020893588
53,-3.26725635973339,3.0159289474462,53,0,0.00292860893290565,0.70352833453234,0.42,0.03,0.990672900198133,0.990672900198133
54,-3.33008821280518,2.95309709437441,54,0,0.000705605494168965,0.846081758916029,0.37,0.02,1.19949235219515,1.19949235219515
55,-3.39292006587698,2.89026524130261,59,4,0.0139350585752936,0.0308463086097218,0.32,0.03,0.415885603979694,0.00564406679416119
56,-3.45575191894877,2.82743338823081,56,0,0.00135219943245034,0.8016482747219,0.4,0.01,1.09823553431382,1.09823553431382
57,-3.51858377202057,2.76460153515902,57,0,0.000584222953380047,0.629778781809749,0.56,0.03,0.989707301881013,0.989707301881013
58,-3.58141562509236,2.70176968208722,58,0,0.00166932451157025,0.55527711101997,0.58,0.03,0.962410079287566,0.962410079287566
59,-3.64424747816416,2.63893782901543,23,36,0.0155513576830194,0.011185271643796,0.45,0.02,0.458708705206493,0.00484695306999535
60,-3.70707933123596,2.57610597594363,60,0,0.000511373449733481,0.745519817168423,0.55,0.02,1.0201544618073,1.0201544618073
61,-3.76991118430775,2.51327412287183,61,0,0.00145872682786906,0.768427106925391,0.59,0.01,1.31365973974905,1.31365973974905
62,-3.83274303737955,2.45044226980004,62,0,0.00201488370384735,0.638557976166678,0.24,0.05,0.755248874696768,0.755248874696768
63,-3.89557489045134,2.38761041672824,63,0,0.000564988628989742,0.707366656685002,0.47,0.02,1.10566474936126,1.10566474936126
64,-3.95840674352314,2.32477856365645,64,0,0.00068033367680736,0.81310465639802,0.27,0.01,1.23541206384864,1.23541206384864
65,-4.02123859659494,2.26194671058465,65,0,0.00145645895705828,0.599001209206166,0.45,0.03,0.899958069316121,0.899958069316121
66,-4.08407044966673,2.19911485751286,66,0,0.000766097457439009,0.776033036599846,0.26,0.03,1.00959247464796,1.00959247464796
67,-4.14690230273853,2.13628300444106,67,0,0.000378890341472558,0.97157886712631,0.05,0.01,1.17310465332208,1.17310465332208
68,-4.20973415581032,2.07345115136926,68,0,4.74298683625362e-05,0.964735708296848,0.09,0.01,1.04972413080664,1.04972413080664
69,-4.27256600888212,2.01061929829747,69,0,0.000776947012241076,0.767730711534856,0.44,0.01,0.962456058259484,0.962456058259484
70,-4.33539786195391,1.94778744522567,70,0,0.00129521480989547,0.678482604769947,0.41,0.02,0.87393053886163,0.87393053886163
71,-4.39822971502571,1.88495559215388,71,0,0.00126970404370543,0.72077571994135,0.24,0.01,0.651488674986904,0.651488674986904
72,-4.46106156809751,1.82212373908208,72,0,0.00147919014944397,0.823562824715667,0.39,0.01,1.26926873341042,1.26926873341042
73,-4.5238934211693,1.75929188601028,73,0,0.00324456103148931,0.672469815138098,0.39,0.02,0.858207168009412,0.858207168009412
74,-4.5867252742411,1.69646003293849,74,0,0.00049896630404066,0.698286060114348,0.48,0.01,0.90444875156295,0.90444875156295
75,-4.64955712731289,1.63362817986669,75,0,0.000270879378073499,0.965405948723637,0.1,0.01,0.988749773599519,0.988749773599519
76,-4.71238898038469,1.5707963267949,76,0,0.00291316522149021,0.596474122446186,0.46,0.03,1.00933176833951,1.00933176833951
77,-4.77522083345649,1.5079644737231,77,0,0.000646190281529708,0.837938011530848,0.33,0.01,1.17786444372255,1.17786444372255
78,-4.83805268652828,1.4451326206513,78,0,0.000781205471906479,0.824021127286275,0.35,0.02,1.03057983387808,1.03057983387808
79,-4.90088453960008,1.38230076757951,79,0,0.00106864406089933,0.671730547769797,0.4,0.03,1.03269706405859,1.03269706405859
80,-4.96371639267187,1.31946891450771,80,0,0.000218117583639734,0.830680399510772,0.37,0.01,0.995164569615123,0.995164569615123
81,-5.02654824574367,1.25663706143592,81,0,0.00100487663917092,0.704940088768888,0.53,0.03,0.919019984323995,0.919019984323995
82,-5.08938009881546,1.19380520836412,82,0,0.000673653901652097,0.732353854993755,0.45,0.02,1.16591001895544,1.16591001895544
83,-5.15221195188726,1.13097335529233,83,0,0.000548070881021299,0.675694826468073,0.69,0.03,0.925160480561272,0.925160480561272
84,-5.21504380495906,1.06814150222053,84,0,0.00911545623781985,0.444741224770823,0.41,0.03,0.381068900181393,0.381068900181393
85,-5.27787565803085,1.00530964914873,85,0,0.00514764563453472,0.537123189505567,0.48,0.03,0.748397688866572,0.748397688866572
86,-5.34070751110265,0.942477796076938,86,0,0.000464537323083389,0.692374816948379,0.45,0.02,1.00300734246382,1.00300734246382
87,-5.40353936417444,0.879645943005143,87,0,0.000143335141898483,0.725266661195192,0.66,0.01,0.952992841137384,0.952992841137384
88,-5.46637121724624,0.816814089933347,88,0,0.00022807172416812,0.939604086299253,0.19,0.01,1.12362336987193,1.12362336987193
89,-5.52920307031804,0.753982236861551,89,0,0.000490972010245884,0.836671097740886,0.14,0.02,1.12504213549686,1.12504213549686
90,-5.59203492338983,0.691150383789754,90,0,0.000919094808275716,0.668682188842284,0.48,0.02,1.1491943695034,1.1491943695034
91,-5.65486677646163,0.628318530717959,91,0,0.0015164074664527,0.643006294725372,0.64,0.03,0.772511265171137,0.772511265171137
92,-5.71769862953342,0.565486677646163,92,0,0.00190379311077027,0.551596870409746,0.61,0.03,0.764838691892741,0.764838691892741
93,-5.78053048260522,0.502654824574368,93,0,0.000183225267181656,0.830584507337588,0.36,0.01,0.926676198137801,0.926676198137801
94,-5.84336233567702,0.439822971502571,85,9,0.0140552179760458,0.00559903630484008,0.59,0.01,0.499185727601408,0.00674023073548954
95,-5.90619418874881,0.376991118430775,95,0,0.00174699608459495,0.625880420566332,0.34,0.03,0.703953132689147,0.703953132689147
96,-5.96902604182061,0.31415926535898,96,0,0.00172211511030578,0.707411530548777,0.43,0.02,1.18611303766926,1.18611303766926
97,-6.0318578948924,0.251327412287184,97,0,0.000101513047618301,0.842857051783343,0.26,0.01,1.0594898636442,1.0594898636442
98,-6.0946897479642,0.188495559215388,98,0,0.00101200540787234,0.860919176948973,0.23,0.03,0.932716623369723,0.932716623369723
99,-6.15752160103599,0.125663706143592,99,0,0.0016324048107993,0.828542107816265,0.42,0.01,1.34175716796157,1.34175716796157
100,-6.22035345410779,0.0628318530717958,66,34,0.0161233951198942,0.0209813349130475,0.45,0.01,0.671147995943464,0.0172502794941349
