"config_id","config_label","description","method","method_label","mean_abs_a","median_abs_a","mean_abs_b","median_abs_b","mean_active_pixels"
"diag_neg_full","diag\_neg\_full","Negative full diagonal","bm3d","BM3D",NA,NA,NA,NA,4345.72
"diag_neg_full","diag\_neg\_full","Negative full diagonal","cssa_col_col","CSSA col.col",NA,NA,NA,NA,4155.84
"diag_neg_full","diag\_neg\_full","Negative full diagonal","cssa_col_row","CSSA col.row",NA,NA,NA,NA,4957.84
"diag_neg_full","diag\_neg\_full","Negative full diagonal","cssa_row_col","CSSA row.col",NA,NA,NA,NA,4886.89
"diag_neg_full","diag\_neg\_full","Negative full diagonal","cssa_row_row","CSSA row.row",NA,NA,NA,NA,3975.83
"diag_neg_full","diag\_neg\_full","Negative full diagonal","median","Median",NA,NA,NA,NA,5077.97
"diag_neg_full","diag\_neg\_full","Negative full diagonal","quantile_09","Quantile 0.9",NA,NA,NA,NA,1000
"diag_neg_full","diag\_neg\_full","Negative full diagonal","wiener","Wiener",NA,NA,NA,NA,9999.97
"diag_pos_full","diag\_pos\_full","Positive full diagonal","bm3d","BM3D",NA,NA,NA,NA,4126.94
"diag_pos_full","diag\_pos\_full","Positive full diagonal","cssa_col_col","CSSA col.col",NA,NA,NA,NA,4251.84
"diag_pos_full","diag\_pos\_full","Positive full diagonal","cssa_col_row","CSSA col.row",NA,NA,NA,NA,4909.9
"diag_pos_full","diag\_pos\_full","Positive full diagonal","cssa_row_col","CSSA row.col",NA,NA,NA,NA,4889.68
"diag_pos_full","diag\_pos\_full","Positive full diagonal","cssa_row_row","CSSA row.row",NA,NA,NA,NA,3981.8
"diag_pos_full","diag\_pos\_full","Positive full diagonal","median","Median",NA,NA,NA,NA,5063.76
"diag_pos_full","diag\_pos\_full","Positive full diagonal","quantile_09","Quantile 0.9",NA,NA,NA,NA,1000
"diag_pos_full","diag\_pos\_full","Positive full diagonal","wiener","Wiener",NA,NA,NA,NA,9999.97
"steep_full","steep\_full","Steep line crossing most of the image","bm3d","BM3D",NA,NA,NA,NA,4186.44
"steep_full","steep\_full","Steep line crossing most of the image","cssa_col_col","CSSA col.col",NA,NA,NA,NA,6477.09
"steep_full","steep\_full","Steep line crossing most of the image","cssa_col_row","CSSA col.row",NA,NA,NA,NA,4955.26
"steep_full","steep\_full","Steep line crossing most of the image","cssa_row_col","CSSA row.col",NA,NA,NA,NA,5396.37
"steep_full","steep\_full","Steep line crossing most of the image","cssa_row_row","CSSA row.row",NA,NA,NA,NA,4003.41
"steep_full","steep\_full","Steep line crossing most of the image","median","Median",NA,NA,NA,NA,5060.71
"steep_full","steep\_full","Steep line crossing most of the image","quantile_09","Quantile 0.9",NA,NA,NA,NA,1000
"steep_full","steep\_full","Steep line crossing most of the image","wiener","Wiener",NA,NA,NA,NA,9999.93
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","bm3d","BM3D",NA,NA,NA,NA,4244.77
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","cssa_col_col","CSSA col.col",NA,NA,NA,NA,4510.79
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","cssa_col_row","CSSA col.row",NA,NA,NA,NA,4966.35
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","cssa_row_col","CSSA row.col",NA,NA,NA,NA,4883.93
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","cssa_row_row","CSSA row.row",NA,NA,NA,NA,3992.53
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","median","Median",NA,NA,NA,NA,5070.35
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","quantile_09","Quantile 0.9",NA,NA,NA,NA,1000
"steep_shifted","steep\_shifted","Steep shifted line with shorter visible segment","wiener","Wiener",NA,NA,NA,NA,9999.91
