"rep","grid_id","grid_label","rho_step","theta_step","pred_rho","pred_theta","dr","dtheta"
1,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
1,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
1,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
1,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
2,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
2,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
2,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
2,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
3,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
3,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
3,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
3,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
4,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
4,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
4,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
4,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
5,"coarse","Крупный шаг",5,1,-27,3,705.050465843002,0.10371939430479
5,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
5,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
5,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
6,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
6,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
6,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
6,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
7,"coarse","Крупный шаг",5,1,-22,3,464.522601798002,0.10371939430479
7,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
7,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
7,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
8,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
8,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
8,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
8,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
9,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
9,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
9,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
9,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
10,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
10,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
10,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
10,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
11,"coarse","Крупный шаг",5,1,-7,3,42.9390096630006,0.10371939430479
11,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
11,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
11,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
12,"coarse","Крупный шаг",5,1,-17,3,273.994737753001,0.10371939430479
12,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
12,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
12,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
13,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
13,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
13,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
13,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
14,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
14,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
14,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
14,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
15,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
15,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
15,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
15,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
16,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
16,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
16,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
16,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
17,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
17,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
17,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
17,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
18,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
18,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
18,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
18,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
19,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
19,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
